0,1
0.00066102683753518_2.4076129755769_9.90546259513542,-11259.111153769245
0.00066102683753518_2.4076129755769_9.90546259513542,-11259.078764247151
0.000712679402420477_2.64523910754217_9.92955355944615,-11258.741361727654
0.000712679402420477_2.64523910754217_9.92955355944615,-11259.80801639672
0.0007533955934655_2.5438060910997_9.97090331294576,-11259.397372525496
0.0007533955934655_2.5438060910997_9.97090331294576,-11258.517556488701
0.000847361899295677_2.74121619893339_9.9361016404114,-11259.471057788442
0.000847361899295677_2.74121619893339_9.9361016404114,-11258.298554289142
0.000886152181867241_2.62507061896567_9.90585935506538,-11258.764825034994
0.000886152181867241_2.62507061896567_9.90585935506538,-11261.34599280144
0.00090193139686617_2.40688056706091_9.88236221307493,-11258.940587882422
0.00090193139686617_2.40688056706091_9.88236221307493,-11258.297102579485
0.000908951344544705_2.69014330465471_9.8588277374191,-11258.553571285742
0.000908951344544705_2.69014330465471_9.8588277374191,-11260.392391521696
0.00104093104659147_2.6462609546508_9.460889731225,-11259.566590681863
0.00104093104659147_2.6462609546508_9.460889731225,-11258.21845830834
0.00136039140275477_2.66479978668826_9.9901827318302,-11260.08372925415
0.00136039140275477_2.66479978668826_9.9901827318302,-11258.535638872225
0.00169009639151744_2.37589120123133_9.6528888910821,-11259.767324535092
0.00169009639151744_2.37589120123133_9.6528888910821,-11259.878190361927
0.00185289531522795_2.6598640403306_9.82065827688232,-11260.17452509498
0.00185289531522795_2.6598640403306_9.82065827688232,-11259.20425114977
0.00219855736085908_2.5836372807155_9.99595966170996,-11259.93972405519
0.00219855736085908_2.5836372807155_9.99595966170996,-11258.826294741051
0.00535192615749908_2.62023596230261_9.70097468868796,-11258.68076984603
0.00535192615749908_2.62023596230261_9.70097468868796,-11258.612519496099
1.02953894221664e-05_2.63577296572553_9.46965603265222,-11258.870223955208
1.02953894221664e-05_2.63577296572553_9.46965603265222,-11259.972137572484
1.03183991268784e-05_2.76544012877318_9.97865364152407,-11258.338446310738
1.03183991268784e-05_2.76544012877318_9.97865364152407,-11258.923807238552
1.04267725331037e-10_2.64128669513549_9.9652805958102,-11258.275880823836
1.04267725331037e-10_2.64128669513549_9.9652805958102,-11260.10471905619
1.0460514952118e-05_2.71348857138138_9.86610199477912,-11258.081285742852
1.0460514952118e-05_2.71348857138138_9.86610199477912,-11258.806656668667
1.10972093486438e-05_2.57555104259748_9.6775222910005,-11259.615440911815
1.10972093486438e-05_2.57555104259748_9.6775222910005,-11258.85829034193
1.14419740258251e-05_2.23278292225067_9.98056860821848,-11259.821897620477
1.14419740258251e-05_2.23278292225067_9.98056860821848,-11259.494075184963
1.15428261130841e-05_2.63776199154908_9.94542327622876,-11258.666094781043
1.15428261130841e-05_2.63776199154908_9.94542327622876,-11259.282499500101
1.16268389790318e-07_2.59557901497401_9.94280691570352,-11259.951847630473
1.16268389790318e-07_2.59557901497401_9.94280691570352,-11259.995196960608
1.21078975879953e-05_2.42992147529757_9.8193919357314,-11257.857286542692
1.21078975879953e-05_2.42992147529757_9.8193919357314,-11259.330851829634
1.25905200263757e-06_2.31961311939121_9.913592612939,-11259.935856828633
1.25905200263757e-06_2.31961311939121_9.913592612939,-11257.889414117177
1.32321178574487e-05_2.59691381161474_9.92426334102355,-11258.51395920816
1.32321178574487e-05_2.59691381161474_9.92426334102355,-11258.856854629075
1.33787835951566e-05_2.52722177021877_9.85301726123839,-11259.96980403919
1.33787835951566e-05_2.52722177021877_9.85301726123839,-11257.932109578083
1.35648593387593e-05_2.40289044907201_9.76162100596124,-11258.63204559088
1.35648593387593e-05_2.40289044907201_9.76162100596124,-11259.505218956208
1.36786407140184e-05_2.60765396904581_9.7263950408071,-11259.872377524494
1.36786407140184e-05_2.60765396904581_9.7263950408071,-11258.652925414917
1.42873623970037e-07_2.61052766291492_9.72880118526961,-11259.152723455309
1.42873623970037e-07_2.61052766291492_9.72880118526961,-11260.173021395722
1.60967728289063e-06_2.53386921026882_9.93145551297257,-11258.353037392522
1.60967728289063e-06_2.53386921026882_9.93145551297257,-11259.586850629874
1.60991488855003e-05_2.53023640159763_9.9578211381904,-11259.558580283943
1.60991488855003e-05_2.53023640159763_9.9578211381904,-11258.250083983205
