taxon	age
Leptogenys_falcigera_Schmidt	0
Leptogenys_iridescens_Schmidt	0
Leptogenys_occidentalis_Schmidt	0
Leptogenys_sp_CSM_Moreau	0
Leptogenys_sp_Ecu1_Schmidt	0
Leptomyrmex_AU01_Ward2010	0
Leptomyrmex_AUS01_Moreau	0
Leptomyrmex_erythrocephalus_Ward2010	0
Leptomyrmex_sp_CSM_Moreau	0
Leptothorax_muscorum_complex_Ward2015	0
Leptothorax_sp_CSM_Moreau	0
Linepithema_humile_Ward2010	0
Linepithema_keiteli_Ward2010	0
Liometopum_apiculatum_Ward2010	0
Liometopum_luctuosum_CSM_Moreau	0
Liometopum_occidentale_Ward2010	0
Liomyrmex_gestroi_Ward2015	0
Loboponera_politula_Moreau_Schmidt	0
Lophomyrmex_ambiguus_Ward2015	0
Lophomyrmex_striatulus_CSM_Moreau	0
Lordomyrma_bhutanensis_cf_Ward2015	0
Lordomyrma_desupra_Ward2015	0
Loweriella_boltoni_Ward2010	0
Malagidris_belti_Ward2015	0
Malagidris_jugum_Ward2015	0
Manica_bradleyi_Ward2015	0
Manica_rubida_Ward2015	0
Martialis_heureka_CR_Moreau_Schmidt	0
Mayaponera_constricta_Schmidt	0
Mayriella_ebbei_Ward2015	0
Mayriella_transfuga_CSM_Moreau	0
Megalomyrmex_foreli_CSM_Moreau	0
Megalomyrmex_silvestrii_Ward2015	0
Megaponera_analis_Schmidt	0
Melissotarsus_insularis_Ward2015	0
Melophorus_sp_CSM_Moreau	0
Meranoplus_castaneus_Ward2015	0
Meranoplus_cf_radamae_Moreau	0
Meranoplus_mayri_CSM_Moreau	0
Meranoplus_radamae_Ward2015	0
Mesoponera_ingesta_Schmidt	0
Mesoponera_rubra_Schmidt	0
Mesostruma_browni_Ward2015	0
Messor_denticornis_Ward2015	0
Messor_wasmanni_Ward2015	0
Metapolybia_cingulata_Moreau	0
Metapone_madagascarica_Ward2015	0
Metapone_PG01_Ward2015	0
Microdaceton_tibialis_Ward2015	0
Mischocyttarus_flavitarsis_Moreau	0
Monomorium_antarcticum_Ward2015	0
Monomorium_denticulatum_Ward2015	0
Monomorium_ergatogyna_Ward2015	0
Monomorium_exiguum_Ward2015	0
Monomorium_fieldi_nr_Ward2015	0
Monomorium_hanneli_Ward2015	0
Monomorium_latinode_Ward2015	0
Monomorium_madecassum_Ward2015	0
Monomorium_MG04_Ward2015	0
Monomorium_pharaonis_Ward2015	0
Mycetagroicus_triangularis_GenBank	0
Mycetarotes_acutus_Ward2015	0
Mycetophylax_conformis_GenBank	0
Mycetosoritis_hartmanni_Ward2015	0
Mycocepurus_goeldii_Ward2015	0
Myopias_lobosa_CSM_Moreau	0
Myopias_sp_Mal1_Schmidt	0
Myopias_tenuis_Schmidt	0
Myopopone_castanea_CSM_Moreau	0
Myrcidris_epicharis_Moreau	0
Myrmecia_fulviculis_CSM_Moreau	0
Myrmecia_pyriformis_Ward2015	0
Myrmecina_americana_Ward2015	0
Myrmecina_graminicola_Ward2015	0
Myrmecina_PG01_Ward2015	0
Myrmecocystus_flaviceps_Moreau_LaPolla	0
Myrmecocystus_mexicanus_CSM_Moreau	0
Myrmecorhynchus_sp_CSM_Moreau	0
Myrmelachista_flavocotea_Ward2015	0
Myrmelachista_JTL01_Moreau	0
Myrmelachista_sp_CSM_Moreau	0
Myrmica_incompleta_CSM_Moreau	0
Myrmica_kotokui_Ward2015	0
Myrmicaria_brunnea_CSM_Moreau	0
Myrmicaria_carinata_Ward2015	0
Myrmicaria_exigua_Ward2015	0
Myrmica_rugiventris_Ward2015	0
Myrmica_striolagaster_Ward2015	0
Myrmica_tahoensis_Ward2015	0
Myrmicocrypta_infuscata_cf_Ward2015	0
Myrmisaraka_brevis_Ward2015	0
Myrmoteras_iriodum_Moreau	0
Myrmoteras_williamsi_CSM_Moreau	0
Mystrium_mysticum_Moreau_Schmidt	0
Mystrium_rogeri_CSM_Moreau	0
Nebothriomyrmex_majeri_Ward2010	0
Neivamyrmex_CR01_Brady	0
Neivamyrmex_nigrescens_Moreau_Brady_Schm	0
Neoponera_aenescens_Schmidt	0
Neoponera_apicalis_Schmidt	0
Neoponera_carinulata_Schmidt	0
Neoponera_commutata_Schmidt	0
Neoponera_fauveli_Schmidt	0
Neoponera_marginata_Schmidt	0
Neoponera_unidentata_Schmidt	0
